,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index,Yfit,Res,"lnY, Official Time",lnYfit,"Res, lnY",w2_fit,"Res, w2_OLS",ti,hii,DFFITS,Cooks distance
13845,14154,M,51,5.03,5.05131,233.85,0,0,0,1,0,6941,229.87645234392622,3.9735476560737766,5.454679884171895,5.4310433724195715,0.02363651175232384,229.73330221958247,4.116697780417525,0.3394701151993978,0.0007040969974594102,0.009010953332482474,1.6243812426150687e-05
10991,14803,F,33,4.966,5.138999999999999,224.37,1,0,0,1,0,5554,230.20084117807806,-5.83084117807806,5.413296474871686,5.429884931593112,-0.016588456721426503,230.7662652767745,-6.3962652767745,-0.5274695892154039,0.0007393724693815122,-0.014347944089832134,4.11817099127916e-05
9642,15259,F,34,5.24,5.31722,219.6,1,0,0,1,0,4891,235.9785736471477,-16.378573647147704,5.391807709635375,5.453516872076258,-0.06170916244088254,236.88347562178092,-17.283475621780923,-1.425867904096604,0.0010234868886834297,-0.04563970159345239,0.00041646605376278415
8669,14636,F,44,4.77,4.91528,216.15,1,0,0,1,0,4411,219.6775618054979,-3.5275618054978963,5.3759726111136406,5.390641321622096,-0.014668710508455085,220.28292587791339,-4.1329258779133795,-0.34093217523800445,0.0014297641126726482,-0.012900628734138041,3.3294163481731906e-05
4315,12525,F,39,4.4239999999999995,4.51001,198.37,1,0,0,1,0,2193,201.72610125759073,-3.3561012575907228,5.2901339737400175,5.319939880505342,-0.029805906765324686,201.7994471788226,-3.429447178822585,-0.2828994805726939,0.0014299599452248612,-0.010705447361904834,2.292771432688939e-05
14693,14670,F,38,5.066,5.20915,236.73,1,0,0,1,0,7384,232.3800395897821,4.3499604102179035,5.466920251201053,5.439495475233804,0.02742477596724857,233.18392617841698,3.5460738215830077,0.2924339530650051,0.0008394627112529167,0.008476388691076196,1.4373817468826784e-05
22348,14662,M,54,5.0360000000000005,5.12857,281.73,0,0,0,1,0,11125,234.26583331839024,47.46416668160978,5.640949165484632,5.448137344850954,0.1928118206336782,234.20808907073655,47.52191092926347,3.92785428043136,0.0007181358531026171,0.1052966779144993,0.0022078222571784954
4367,12806,M,48,4.626,4.64273,198.67,0,0,0,1,0,2214,212.66026839921741,-13.990268399217427,5.291645156779972,5.363085437893944,-0.07144028111397205,211.96989684438114,-13.299896844381152,-1.0969234330548303,0.0007218474446962198,-0.029481924502027076,0.00017382606559125083
21669,12922,M,52,5.01,5.4305,275.43,0,0,0,1,0,10800,253.00429742442807,22.425702575571933,5.618333512823718,5.518506872006972,0.09982664081674653,252.88722583885925,22.542774161140755,1.8602982130727574,0.0011756502166113698,0.06382297913806757,0.0008140673240118047
11922,8865,M,46,4.22,4.49011,227.47,0,0,0,1,0,6006,210.83363953044673,16.636360469553267,5.42701836156377,5.353446223684627,0.07357213787914318,209.63440889116316,17.835591108836837,1.4718850048157568,0.0016185508569118183,0.05926370576249578,0.0007021890873058922
