,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index
10607,3477,M,34,4.454,4.68918,223.1,0,0,1,0,0,5228
2178,4922,M,54,4.21,4.208080000000001,186.15,0,0,1,0,0,1080
9810,6486,M,46,4.504,4.54177,220.2,0,0,1,0,0,4828
4871,6412,M,42,4.41,4.49579,201.08,0,0,1,0,0,2409
1075,839,M,33,4.034,4.1038,177.0,0,0,1,0,0,518
810,1179,M,30,4.08,4.082,173.72,0,0,1,0,0,392
3864,3302,M,32,4.194,4.2697,196.07,0,0,1,0,0,1898
12595,2607,M,29,4.164,4.66975,229.57,0,0,1,0,0,6253
236,227,M,26,3.614,3.5881,162.45,0,0,1,0,0,123
1258,2567,M,31,4.106,4.1805900000000005,178.6,0,0,1,0,0,611
3044,7266,M,43,4.434,4.4877400000000005,191.33,0,0,1,0,0,1494
21486,6168,M,53,4.506,4.96741,274.0,0,0,1,0,0,10765
5131,4770,M,48,4.466,4.42375,202.25,0,0,1,0,0,2538
7789,6151,M,37,4.5760000000000005,4.72805,212.87,0,0,1,0,0,3814
5051,5024,M,30,4.28,4.29577,201.85,0,0,1,0,0,2501
3354,7098,M,48,4.544,4.4389199999999995,193.28,0,0,1,0,0,1653
458,2932,M,28,3.8539999999999996,3.86539,167.68,0,0,1,0,0,232
2715,4027,M,45,4.266,4.23415,189.52,0,0,1,0,0,1339
7359,6309,M,45,4.5360000000000005,4.57637,211.3,0,0,1,0,0,3603
9570,7234,M,41,4.53,4.73374,219.33,0,0,1,0,0,4708
4610,1550,M,41,4.23,4.24932,199.82,0,0,1,0,0,2274
8013,7246,M,52,4.644,4.8631400000000005,213.73,0,0,1,0,0,3924
5994,4314,M,24,4.266,4.29814,206.05,0,0,1,0,0,2943
4785,7152,F,25,5.05,4.78114,200.62,1,0,1,0,0,2361
7802,5972,M,52,4.29,4.71478,212.9,0,0,1,0,0,3821
1199,1628,M,40,4.124,4.13082,178.13,0,0,1,0,0,585
2841,667,M,34,3.714,3.86634,190.12,0,0,1,0,0,1392
1756,3615,M,33,4.32,4.35502,182.9,0,0,1,0,0,861
102,136,M,39,3.54,3.56914,155.68,0,0,1,0,0,53
18733,5745,M,51,5.276,5.37884,255.68,0,0,1,0,0,9352
5179,6544,M,39,4.394,4.56452,202.48,0,0,1,0,0,2560
7913,6927,M,44,4.306,4.47304,213.33,0,0,1,0,0,3877
506,908,M,33,3.74,3.8559099999999997,168.8,0,0,1,0,0,255
2607,6414,M,39,4.256,4.285819999999999,189.02,0,0,1,0,0,1287
13544,6751,M,47,4.37,4.57069,232.87,0,0,1,0,0,6745
6224,6836,M,42,4.194,4.43323,206.87,0,0,1,0,0,3058
10051,330,M,25,4.24,4.3133099999999995,221.1,0,0,1,0,0,4947
4312,7162,M,65,4.55,4.5977,198.35,0,0,1,0,0,2118
4095,7032,F,36,4.496,4.5157,197.3,1,0,1,0,0,2006
3360,3541,M,45,4.274,4.20666,193.33,0,0,1,0,0,1656
1164,1710,M,28,3.884,3.91753,177.85,0,0,1,0,0,566
1403,2124,M,30,3.7060000000000004,3.93649,179.63,0,0,1,0,0,689
15575,4859,M,34,4.65,4.94372,239.8,0,0,1,0,0,7719
2408,758,M,23,3.7960000000000003,4.18912,187.7,0,0,1,0,0,1184
7742,7370,F,32,4.416,4.52755,212.67,1,0,1,0,0,3788
874,2421,M,36,4.05,4.06352,174.65,0,0,1,0,0,415
6882,3950,M,27,4.31,4.75317,209.37,0,0,1,0,0,3369
550,221,M,21,3.904,3.9635,169.55,0,0,1,0,0,276
14538,6738,M,46,4.67,5.0503599999999995,236.22,0,0,1,0,0,7228
1192,2565,M,34,4.19,4.15784,178.03,0,0,1,0,0,581
2188,5197,M,34,4.343999999999999,4.40574,186.2,0,0,1,0,0,1083
11675,5558,M,37,4.354,4.60386,226.63,0,0,1,0,0,5776
11967,1600,M,32,4.166,4.2697,227.62,0,0,1,0,0,5929
5671,7607,F,31,4.494,4.63704,204.75,1,0,1,0,0,2796
3395,4897,M,34,4.236000000000001,4.2716,193.53,0,0,1,0,0,1672
4204,6955,F,35,4.63,4.65316,197.82,1,0,1,0,0,2055
693,3791,M,27,3.89,3.9066300000000003,171.97,0,0,1,0,0,331
1703,1807,M,23,3.9,4.01469,182.37,0,0,1,0,0,834
5614,735,M,24,3.716,3.98483,204.5,0,0,1,0,0,2769
4072,4089,M,32,4.236000000000001,4.23273,197.22,0,0,1,0,0,1995
8898,6251,M,47,4.444,4.456930000000001,216.93,0,0,1,0,0,4359
5611,4668,M,29,4.276,4.55599,204.48,0,0,1,0,0,2766
1130,2907,M,45,4.1739999999999995,4.13935,177.55,0,0,1,0,0,548
657,827,M,25,3.656,3.64735,171.32,0,0,1,0,0,314
4424,313,M,35,3.7260000000000004,4.02986,198.95,0,0,1,0,0,2175
112,618,M,30,3.59,3.64735,156.42,0,0,1,0,0,58
936,837,M,30,3.85,3.8819800000000004,175.37,0,0,1,0,0,448
10471,4305,M,34,5.45,5.388319999999999,222.62,0,0,1,0,0,5156
7991,5693,M,45,4.516,4.528969999999999,213.67,0,0,1,0,0,3915
3872,4891,M,32,4.42,4.528969999999999,196.12,0,0,1,0,0,1902
24411,7072,F,39,4.8660000000000005,5.59213,307.6,1,0,1,0,0,12215
6625,6700,M,35,4.5360000000000005,4.7399,208.42,0,0,1,0,0,3244
1210,1531,M,27,3.8339999999999996,3.94454,178.2,0,0,1,0,0,589
4930,2150,M,38,4.056,4.073,201.32,0,0,1,0,0,2443
8918,5388,M,36,4.466,4.54462,216.98,0,0,1,0,0,4364
995,646,M,38,4.23,4.18628,176.1,0,0,1,0,0,486
2346,5056,M,27,4.346,4.32658,187.25,0,0,1,0,0,1160
6618,7316,M,50,4.416,4.48726,208.37,0,0,1,0,0,3236
4185,2426,F,23,4.09,4.2336800000000006,197.75,1,0,1,0,0,2048
5326,5154,M,38,4.34,4.49105,203.2,0,0,1,0,0,2628
8127,7400,M,42,4.584,4.81811,214.13,0,0,1,0,0,3978
2601,4467,M,34,4.3660000000000005,4.3573900000000005,188.97,0,0,1,0,0,1282
2248,562,M,41,4.276,4.2317800000000005,186.6,0,0,1,0,0,1118
3214,5364,M,44,4.254,4.33322,192.43,0,0,1,0,0,1580
3053,3877,M,32,4.284,4.33938,191.38,0,0,1,0,0,1497
4554,3662,M,27,4.42,4.5488800000000005,199.52,0,0,1,0,0,2243
9309,4736,M,44,4.136,4.30525,218.48,0,0,1,0,0,4570
5952,6144,F,24,4.524,4.48157,205.85,1,0,1,0,0,2931
10313,6115,M,44,4.6339999999999995,4.8726199999999995,222.07,0,0,1,0,0,5079
18373,1639,M,31,4.624,4.719519999999999,253.62,0,0,1,0,0,9155
2324,4540,M,42,4.216,4.26591,187.12,0,0,1,0,0,1149
11743,4448,M,33,4.526,4.98495,226.85,0,0,1,0,0,5808
8486,1105,M,28,4.29,4.9641,215.47,0,0,1,0,0,4153
4510,7481,M,46,4.44,4.47541,199.28,0,0,1,0,0,2227
2642,4935,M,50,4.266,4.3299,189.18,0,0,1,0,0,1302
781,1114,M,40,3.7439999999999998,3.7814900000000002,173.23,0,0,1,0,0,375
3558,6233,M,37,4.376,4.30762,194.43,0,0,1,0,0,1746
8019,3025,M,24,4.584,4.56358,213.75,0,0,1,0,0,3927
3715,2989,M,31,4.75,4.6607400000000005,195.18,0,0,1,0,0,1828
641,914,M,40,3.7960000000000003,3.89715,171.03,0,0,1,0,0,306
21219,5666,M,52,6.32,6.245769999999999,271.55,0,0,1,0,0,10619
4340,2119,M,37,4.51,4.67591,198.57,0,0,1,0,0,2134
965,934,M,32,3.8,3.87629,175.8,0,0,1,0,0,469
19290,7041,M,41,4.69,5.15227,258.6,0,0,1,0,0,9622
2418,634,M,47,3.9560000000000004,4.1275,187.78,0,0,1,0,0,1190
5877,4794,M,43,4.446000000000001,4.51949,205.58,0,0,1,0,0,2889
3442,2681,M,37,4.114,4.22467,193.77,0,0,1,0,0,1688
89,173,M,30,3.4560000000000004,3.48525,154.02,0,0,1,0,0,45
8621,4641,M,41,4.3260000000000005,4.6071800000000005,215.95,0,0,1,0,0,4224
2268,2596,M,30,4.256,4.21235,186.75,0,0,1,0,0,1125
