,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index,Yfit,Res,"lnY, Official Time",lnYfit,"Res, lnY",elite_fit,"Res, elite_OLS",ti,hii,DFFITS,Cooks distance
210,20,F,30,3.616,3.6464,161.37,1,1,0,0,0,98,156.34358785948618,5.026412140513827,5.083699864953261,5.03560984120046,0.0480900237528008,160.35555679405235,1.0144432059476571,0.20034095577295805,0.08737319566005955,0.06198865900887553,0.0007895710021081456
30,37,M,25,3.4339999999999997,3.47435,144.67,0,1,0,0,0,17,156.51381377245363,-11.843813772453643,4.974455286641499,5.033601003357034,-0.059145716715534924,153.58442932744452,-8.914429327444537,-1.9788460491915376,0.1977664318600879,-0.9825120420677015,0.17860020128123535
16,76,M,41,3.08,3.11032,138.53,0,1,0,0,0,9,140.11458448601996,-1.5845844860199634,4.931086908669788,4.971977590023035,-0.040890681353246805,137.80533698557016,0.7246630144298365,0.1477078454871437,0.1437212128798908,0.060514076176028456,0.000752846836408037
147,22,F,29,3.614,3.64261,158.35,1,1,0,0,0,68,156.20231895600784,2.1476810439921508,5.064807772984649,5.034908731400905,0.0298990415837439,160.17207781141244,-1.8220778114124414,-0.3601293718067139,0.08651263173901014,-0.11082737122881149,0.0025173998623660974
7,7,M,28,3.08,3.13165,134.43,0,1,0,0,0,4,142.06242481167132,-7.632424811671314,4.901043617466161,4.977323915794404,-0.07628029832824268,140.45613486918168,-6.026134869181675,-1.2037598679374328,0.07211216722409802,-0.33558025078394826,0.02224534864180955
37,77,M,40,3.326,3.37244,146.0,0,1,0,0,0,20,151.5444432266361,-5.544443226636105,4.983606621708336,5.016498211574349,-0.03289158986601226,149.02238077061787,-3.022380770617872,-0.6006930867648148,0.0906585195899996,-0.18966772898092826,0.007324819168550707
179,80,M,42,3.326,3.426,159.65,0,1,0,0,0,87,154.6657702034707,4.98422979652932,5.072983919160791,5.028607726211149,0.04437619294964179,153.72471356762458,5.9252864323754295,1.2076521621455862,0.10845288685162738,0.42120185248515607,0.035036051278830874
2275,25,F,21,3.614,3.95782,186.82,1,1,0,0,0,1145,175.58183566682277,11.238164333177224,5.230145586444703,5.10692591573838,0.12321967070632311,188.9611729784804,-2.141172978480398,-0.5299695103829704,0.4150046241824574,-0.44637630854056454,0.04066263439104455
29,43,M,39,3.324,3.36675,144.45,0,1,0,0,0,16,151.28882326682665,-6.838823266826665,4.9729334269122445,5.015364832511443,-0.042431405599198335,148.6680886610072,-4.218088661007215,-0.8388471153336801,0.08295635063056428,-0.25229731624834484,0.012836450944118099
143,87,M,45,3.3339999999999996,3.50895,158.1,0,1,0,0,0,66,159.36185569593022,-1.2618556959302225,5.0632277442154265,5.046873041898893,0.016354702316533576,160.60946174053723,-2.5094617405372333,-0.5232499011806826,0.17584970960226132,-0.2417000691873791,0.011924328044449895
137,29,M,25,3.1660000000000004,3.25394,157.82,0,1,0,0,0,64,148.03856103698453,9.78143896301546,5.061455143092889,4.999962877635754,0.06149226545713482,147.28291723764767,10.537082762352327,2.199644845071029,0.07135572507392707,0.6097366273078222,0.06719156687392255
20,3,F,37,3.554,3.4388,141.87,1,1,0,0,0,11,144.59978933216908,-2.7297893321690765,4.954911145323894,4.9919318594732065,-0.037020714149312184,144.4234833690872,-2.553483369087189,-0.5501976455190224,0.22758946842023772,-0.2986556361002128,0.01819138601840368
