,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index
12504,17431,M,55,4.98,5.138999999999999,229.22,0,0,0,0,1,6212
10721,16793,F,29,4.763999999999999,4.8238,223.47,1,0,0,0,1,5286
8536,17289,F,51,5.11,5.0991800000000005,215.65,1,0,0,0,1,4180
20023,21417,M,62,5.21,5.31201,263.17,0,0,0,0,1,9990
25317,21890,M,61,5.23,5.6893,326.13,0,0,0,0,1,12647
15538,20906,F,46,4.87,5.13473,239.67,1,0,0,0,1,7703
18533,23317,F,50,5.69,5.65565,254.47,1,0,0,0,1,9248
22332,20952,F,61,5.224,6.127269999999999,281.57,1,0,0,0,1,11189
16579,21587,F,59,5.466,5.53999,244.52,1,0,0,0,1,8251
21019,23420,F,60,5.57,5.74144,270.0,1,0,0,0,1,10504
15605,22293,F,50,5.516,5.54805,239.92,1,0,0,0,1,7738
8879,17717,F,35,5.13,5.08259,216.87,1,0,0,0,1,4350
14796,19700,F,54,5.236000000000001,5.2447,237.12,1,0,0,0,1,7344
16565,23492,F,53,5.176,5.40965,244.45,1,0,0,0,1,8243
16593,20480,F,53,5.263999999999999,5.46747,244.57,1,0,0,0,1,8259
20220,21335,M,60,5.4239999999999995,5.503019999999999,264.43,0,0,0,0,1,10093
12446,23081,F,52,5.43,5.46416,229.05,1,0,0,0,1,6177
10811,16279,F,24,4.91,5.01339,223.77,1,0,0,0,1,5328
23575,23485,F,54,6.85,6.74345,295.47,1,0,0,0,1,11806
9729,23146,F,50,4.934,4.88541,219.92,1,0,0,0,1,4785
17008,19499,F,41,4.864,5.2575,246.6,1,0,0,0,1,8481
16617,17585,F,36,5.066,5.3110599999999994,244.7,1,0,0,0,1,8275
9191,16295,F,37,5.02,5.05131,218.02,1,0,0,0,1,4504
23730,19734,M,66,5.79,6.11115,297.42,0,0,0,0,1,11878
14568,21953,M,61,5.42,5.4542,236.28,0,0,0,0,1,7239
19854,18914,M,57,5.704,5.45562,262.1,0,0,0,0,1,9918
20365,18703,F,44,5.61,5.86468,265.45,1,0,0,0,1,10166
19554,17765,M,63,5.156000000000001,5.38927,260.22,0,0,0,0,1,9770
18124,19641,F,44,5.396,5.6513800000000005,252.25,1,0,0,0,1,9042
13329,17152,F,27,5.034,5.05889,232.07,1,0,0,0,1,6628
8325,16299,F,32,4.92,4.93755,214.87,1,0,0,0,1,4079
17921,23020,F,52,5.263999999999999,5.4783800000000005,251.27,1,0,0,0,1,8937
8750,16828,F,36,5.013999999999999,5.07074,216.4,1,0,0,0,1,4290
17555,23236,F,52,5.416,5.47695,249.43,1,0,0,0,1,8763
13985,22864,F,52,5.37,5.37362,234.28,1,0,0,0,1,6968
12284,16045,F,22,4.466,5.1025,228.53,1,0,0,0,1,6102
21832,21558,F,49,5.496,5.9177599999999995,276.75,1,0,0,0,1,10929
11144,19553,F,42,5.266,5.29068,224.83,1,0,0,0,1,5505
12814,19646,F,45,5.24,5.22716,230.3,1,0,0,0,1,6371
19809,22936,F,48,5.52,5.77794,261.82,1,0,0,0,1,9897
11220,21135,F,45,5.136,5.18166,225.07,1,0,0,0,1,5547
