,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index
12887,14719,F,52,4.81,5.16791,230.55,1,0,0,1,0,6415
21789,28568,M,30,5.8839999999999995,5.65707,276.4,0,0,0,0,0,10908
21674,11455,F,24,4.76,5.746180000000001,275.5,1,0,0,1,0,10849
2117,4763,M,25,4.276,4.25738,185.67,0,0,1,0,0,1053
18593,19328,F,41,5.064,5.259869999999999,254.82,1,0,0,0,1,9275
13418,12153,F,31,5.186,5.3869,232.42,1,0,0,1,0,6677
3523,10441,F,32,4.224,4.3592900000000006,194.18,1,0,0,1,0,1727
3843,11777,F,26,4.684,4.71004,195.93,1,0,0,1,0,1888
25341,27989,M,41,6.553999999999999,6.8216600000000005,326.48,0,0,0,0,0,12662
21298,27818,F,35,6.396,6.25904,272.2,1,0,0,0,0,10659
25126,30885,F,40,6.796,7.18332,321.73,1,0,0,0,0,12555
22825,22689,F,46,5.62,6.41071,286.63,1,0,0,0,1,11444
15574,490,M,41,4.574,4.96362,239.8,0,0,1,0,0,7718
14840,9659,M,45,4.716,4.7470099999999995,237.27,0,0,0,1,0,7376
2380,6446,M,37,4.294,4.25169,187.52,0,0,1,0,0,1174
14698,11225,F,35,4.734,5.214840000000001,236.75,1,0,0,1,0,7296
7592,6936,M,47,4.274,4.55884,212.13,0,0,1,0,0,3714
22697,30666,F,49,6.244,6.44958,285.42,1,0,0,0,0,11375
22937,25621,F,36,6.086,6.26141,287.8,1,0,0,0,0,11503
17159,9750,F,31,4.604,4.86456,247.4,1,0,0,1,0,8559
4294,7640,M,42,4.546,4.55978,198.25,0,0,1,0,0,2107
6583,18237,F,28,4.644,4.7375300000000005,208.27,1,0,0,0,1,3217
14229,18902,F,41,4.996,5.1973,235.1,1,0,0,0,1,7083
15275,15142,F,39,4.91,5.23522,238.75,1,0,0,1,0,7572
17479,20592,F,51,5.07,5.53715,249.07,1,0,0,0,1,8729
7320,9434,F,25,4.486000000000001,4.60955,211.2,1,0,0,1,0,3585
22398,28314,M,25,6.216,6.14149,282.4,0,0,0,0,0,11223
19170,12295,M,45,4.974,4.92855,257.95,0,0,0,1,0,9560
13346,17742,M,58,4.976,4.98969,232.13,0,0,0,0,1,6633
10561,14809,F,35,4.834,4.958880000000001,222.93,1,0,0,1,0,5204
20705,29660,M,50,6.03,5.7860000000000005,267.77,0,0,0,0,0,10339
21720,22008,F,45,5.614,5.98555,275.82,1,0,0,0,1,10876
20751,30234,F,41,6.336,6.27231,268.13,1,0,0,0,0,10367
4919,3645,M,32,4.256,4.29293,201.25,0,0,1,0,0,2435
12530,30877,M,46,5.404,5.2684,229.32,0,0,0,0,0,6223
10425,14874,M,54,5.12,5.11672,222.4,0,0,0,1,0,5133
23757,27954,F,41,6.984,6.83493,297.68,1,0,0,0,0,11890
4863,7577,M,42,4.6,4.68444,201.03,0,0,1,0,0,2402
21686,23466,F,50,5.44,6.1012,275.55,1,0,0,0,1,10858
20639,25924,M,31,5.38,5.3646199999999995,267.42,0,0,0,0,0,10304
17651,11269,M,49,4.9639999999999995,5.09207,249.93,0,0,0,1,0,8806
16931,15592,M,30,4.97,5.141369999999999,246.15,0,0,0,1,0,8446
7278,15338,F,26,5.034,4.9731,211.03,1,0,0,1,0,3566
25839,26247,F,41,6.76,7.3895,341.2,1,0,0,0,0,12908
15081,8236,M,45,4.486000000000001,4.60102,238.05,0,0,0,1,0,7480
15927,25518,M,47,5.48,5.41202,241.38,0,0,0,0,0,7900
21295,30409,M,37,5.646,5.4831199999999995,272.2,0,0,0,0,0,10658
18055,24701,F,56,5.196000000000001,5.36083,251.9,1,0,0,0,0,8999
22294,13555,F,27,4.856,5.46747,281.17,1,0,0,1,0,11175
2353,1197,M,45,4.126,4.26117,187.33,0,0,1,0,0,1164
6611,9204,M,55,4.6,4.61524,208.33,0,0,0,1,0,3232
2845,932,M,30,3.9960000000000004,4.13935,190.13,0,0,1,0,0,1397
6287,5028,M,35,4.394,4.3834599999999995,207.08,0,0,1,0,0,3082
115,181,M,25,3.404,3.4662900000000003,156.48,0,0,1,0,0,59
832,5240,M,37,4.21,4.1085400000000005,174.07,0,0,1,0,0,398
19421,10804,M,49,4.656000000000001,5.04467,259.32,0,0,0,1,0,9702
19158,22759,M,65,5.564,5.80401,257.9,0,0,0,0,1,9559
16813,26620,F,24,5.644,5.55753,245.6,1,0,0,0,0,8377
13946,25954,F,33,5.686,5.53525,234.18,1,0,0,0,0,6951
12246,8411,M,45,4.69,4.92713,228.42,0,0,0,1,0,6074
12234,14950,F,39,5.154,5.2575,228.37,1,0,0,1,0,6071
2639,11544,F,24,4.496,4.5019599999999995,189.17,1,0,0,1,0,1301
18373,1639,M,31,4.624,4.719519999999999,253.62,0,0,1,0,0,9155
